brand,mean,count
bmw,773577.0,9
mercedes,700013.4285714285,7
mahindra,623007.928,125
ford,468514.8103448276,116
toyota,458782.52571428573,175
skoda,450317.74418604653,43
honda,444982.01781170483,393
volkswagen,438182.48066298343,181
maruti,415792.75625306525,2039
hyundai,404839.8455134135,1081
tata,400488.0138888889,72
renault,389421.1453488372,172
nissan,361154.3448275862,29
datsun,261655.5652173913,23
chevrolet,257394.38095238095,21
