model,MAE,RMSE,R2,MAPE_percent,MdAPE_percent,NMAE_mean_percent,NMAE_median_percent,RMSLE,fit_time_seconds
Linear Regression,34942.99535421439,55029.506652687756,0.8961791365549641,8.257001159088206,6.5154361143576525,8.268949482212525,9.140226721548943,0.11680478033967537,1.0502550601959229
Ridge Regression,35387.82429264131,53457.279555241366,0.9020268424067117,8.328943587254566,6.5371302600944885,8.374214299461077,9.256583012940474,0.11084082240226668,0.3520383834838867
Random Forest,38815.52913442799,59759.38971166872,0.8775649663106928,9.269527629605012,6.755236016386753,9.185350204936649,10.153186153881645,0.1261471662858369,10.303506135940552
Lasso Regression,40701.28806713798,62776.068044971486,0.8648918278614638,9.50445337114979,7.437789141393381,9.631598306799194,10.646454232717842,0.12879959736462784,1.5130383968353271
Extra Trees,41268.58564824328,63639.89211395387,0.8611479591889255,9.714106541802863,7.223972897089414,9.765844240554706,10.794845303870341,0.13109730354408822,59.03523230552673
Voting Regressor,44072.96590693426,64744.54701355631,0.8562857637776422,10.579857554578298,8.504339698976569,10.429475919893067,11.528402090231536,0.13754980640013187,14.926332712173462
Decision Tree,52853.63617532482,78342.39770375616,0.7895799515841689,12.496220901872974,9.438938502753006,12.507343547818964,13.82520910997016,0.16817467126828634,0.48644471168518066
Gradient Boosting,71570.44290471394,97583.76419499065,0.6735260521266823,17.29485722515382,14.54239859332387,16.93650961514604,18.721064639121195,0.21166059206396393,4.654952049255371
